,tissueID,sampleDescription,vesselSerialNumber,fishNumber,repID,water,dateCollected,year,lattitude_decDeg,longitude_decDeg,site,siteDepthCode,stationDepth_m,depthCollect_m,sampleDepthMin_m,sampleDepthMax_m,waterLayerSampled,DCLdepth,thermoclineDepth_m,epilimnionDepth_m,hypolimnionDepth_m,collectionGear,collectionGearMesh_um,numberIndividualsCombined,individualSize_mm,individualSizeMax_mm,individualSizeMin_mm,tissueType,preservationMethod,lipidExtraction,acidifiedUnacidified,wellID,laboratory,equipment,sampleAmount_mg,areaN,percentN,areaN28,amplitudeN28,delta15N,TEF_N,TEF_C_SD,areaC,percentC,areaC45,amplitudeC45,delta13C,TEF_C,TEF_C_SD.1,H2amp,percentH,del2H,sd_delta2H,analysisFacility,equipmentUsed,analysisDate,analysisTime,Flag,Comment,Comment2,Group
784,T2633,Rainbow smelt,28.2013.216,28.2013.216.026,,Lake Ontario,7/25/2013,2013,43.5635,-76.5015,Nine Mile Point,NMP 110,110,110,,,,NA,NA,NA,NA,bottom trawl,,1,113,9.6,NA,dorsalMuscle,0,no,,,,,No ,NA,13.77,NA,NA,15.76,NA,NA,NA,46.04,NA,,-24.11,NA,NA,NA,NA,NA,NA,NA,,,,NA,,,Fish
786,T2637,Rainbow smelt,28.2013.216,28.2013.216.030,,Lake Ontario,7/25/2013,2013,43.5635,-76.5015,Nine Mile Point,NMP 110,110,110,,,,NA,NA,NA,NA,bottom trawl,,1,73,2.1,NA,dorsalMuscle,0,no,,,,,No ,NA,13.62,NA,NA,16.17,NA,NA,NA,45.77,NA,,-24.95,NA,NA,NA,NA,NA,NA,NA,,,,NA,,,Fish
788,T2640,Rainbow smelt,28.2013.216,28.2013.216.033,,Lake Ontario,7/25/2013,2013,43.5635,-76.5015,Nine Mile Point,NMP 110,110,110,,,,NA,NA,NA,NA,bottom trawl,,1,86,3.4,NA,dorsalMuscle,0,no,,,,,No ,NA,11.82,NA,NA,17.35,NA,NA,NA,41.1,NA,,-24.43,NA,NA,NA,NA,NA,NA,NA,,,,NA,,,Fish
790,T4112,Rainbow smelt,28.2013.329,28.2013.329.025,,Lake Ontario,10/23/2013,2013,43.5635,-76.5015,Nine Mile Point,NMP 110,110,110,,,,NA,NA,NA,NA,bottom trawl,,1,144,16.8,NA,dorsalMuscle,0,no,,,,,No ,NA,13.41,NA,NA,14.94,NA,NA,NA,43.83,NA,,-23.92,NA,NA,NA,NA,NA,NA,NA,,,,NA,,,Fish
792,T4830,Slimy sculpin,28.2013.329,28.2013.329.037,,Lake Ontario,10/23/2013,2013,43.5635,-76.5015,Nine Mile Point,NMP 110,110,110,,,,NA,NA,NA,NA,bottom trawl,,1,99,14.4,NA,dorsalMuscle,frozen then dried,no,,,,,No,NA,12.18,NA,NA,15.5,NA,NA,NA,44.18,NA,,-23.99,NA,NA,NA,NA,NA,NA,NA,,,,NA,,,Fish
794,T4831,Slimy sculpin,28.2013.329,28.2013.329.038,,Lake Ontario,10/23/2013,2013,43.5635,-76.5015,Nine Mile Point,NMP 110,110,110,,,,NA,NA,NA,NA,bottom trawl,,1,112,12.9,NA,dorsalMuscle,frozen then dried,no,,,,,No,NA,12.88,NA,NA,16.63,NA,NA,NA,47.49,NA,,-24.6,NA,NA,NA,NA,NA,NA,NA,,,,NA,,,Fish
796,T4832,Slimy sculpin,28.2013.329,28.2013.329.039,,Lake Ontario,10/23/2013,2013,43.5635,-76.5015,Nine Mile Point,NMP 110,110,110,,,,NA,NA,NA,NA,bottom trawl,,1,107,18.3,NA,dorsalMuscle,frozen then dried,no,,,,,No,NA,13.53,NA,NA,16.83,NA,NA,NA,47.21,NA,,-24.32,NA,NA,NA,NA,NA,NA,NA,,,,NA,,,Fish
798,T4833,Slimy sculpin,28.2013.329,28.2013.329.040,,Lake Ontario,10/23/2013,2013,43.5635,-76.5015,Nine Mile Point,NMP 110,110,110,,,,NA,NA,NA,NA,bottom trawl,,1,96,12.9,NA,dorsalMuscle,frozen then dried,no,,,,,No,NA,12.77,NA,NA,16.47,NA,NA,NA,45.63,NA,,-24.4,NA,NA,NA,NA,NA,NA,NA,,,,NA,,,Fish
800,T4834,Slimy sculpin,28.2013.329,28.2013.329.041,,Lake Ontario,10/23/2013,2013,43.5635,-76.5015,Nine Mile Point,NMP 110,110,110,,,,NA,NA,NA,NA,bottom trawl,,1,103,20.7,NA,dorsalMuscle,frozen then dried,no,,,,,No,NA,13.18,NA,NA,16.44,NA,NA,NA,45.09,NA,,-24.03,NA,NA,NA,NA,NA,NA,NA,,,,NA,,,Fish
802,T4835,Slimy sculpin,28.2013.329,28.2013.329.042,A,Lake Ontario,10/23/2013,2013,43.5635,-76.5015,Nine Mile Point,NMP 110,110,110,,,,NA,NA,NA,NA,bottom trawl,,1,86,11.4,NA,dorsalMuscle,frozen then dried,no,,,,,No,NA,11.71,NA,NA,16.7,NA,NA,NA,47.75,NA,,-24.81,NA,NA,NA,NA,NA,NA,NA,,,,NA,,,Fish
804,T4835,Slimy sculpin,28.2013.329,28.2013.329.042,B,Lake Ontario,10/23/2013,2013,43.5635,-76.5015,Nine Mile Point,NMP 110,110,110,,,,NA,NA,NA,NA,bottom trawl,,1,86,11.4,NA,dorsalMuscle,frozen then dried,no,,,,,No,NA,11.77,NA,NA,16.75,NA,NA,NA,47.18,NA,,-24.83,NA,NA,NA,NA,NA,NA,NA,,,,NA,,,Fish
806,T4835,Slimy sculpin,28.2013.329,28.2013.329.042,C,Lake Ontario,10/23/2013,2013,43.5635,-76.5015,Nine Mile Point,NMP 110,110,110,,,,NA,NA,NA,NA,bottom trawl,,1,86,11.4,NA,dorsalMuscle,frozen then dried,no,,,,,No,NA,11.67,NA,NA,16.5,NA,NA,NA,46.85,NA,,-24.78,NA,NA,NA,NA,NA,NA,NA,,,,NA,,,Fish
808,T4836,Slimy sculpin,28.2013.329,28.2013.329.043,,Lake Ontario,10/23/2013,2013,43.5635,-76.5015,Nine Mile Point,NMP 110,110,110,,,,NA,NA,NA,NA,bottom trawl,,1,129,24.1,NA,dorsalMuscle,frozen then dried,no,,,,,No,NA,13.34,NA,NA,16.73,NA,NA,NA,45.98,NA,,-24.35,NA,NA,NA,NA,NA,NA,NA,,,,NA,,,Fish
810,T4837,Slimy sculpin,28.2013.329,28.2013.329.044,A,Lake Ontario,10/23/2013,2013,43.5635,-76.5015,Nine Mile Point,NMP 110,110,110,,,,NA,NA,NA,NA,bottom trawl,,1,100,18,NA,dorsalMuscle,frozen then dried,no,,,,,No,NA,12.59,NA,NA,15.63,NA,NA,NA,44.37,NA,,-23.91,NA,NA,NA,NA,NA,NA,NA,,,,NA,,,Fish
812,T4837,Slimy sculpin,28.2013.329,28.2013.329.044,B,Lake Ontario,10/23/2013,2013,43.5635,-76.5015,Nine Mile Point,NMP 110,110,110,,,,NA,NA,NA,NA,bottom trawl,,1,100,18,NA,dorsalMuscle,frozen then dried,no,,,,,No,NA,12.73,NA,NA,15.55,NA,NA,NA,45.78,NA,,-23.92,NA,NA,NA,NA,NA,NA,NA,,,,NA,,,Fish
814,T4837,Slimy sculpin,28.2013.329,28.2013.329.044,C,Lake Ontario,10/23/2013,2013,43.5635,-76.5015,Nine Mile Point,NMP 110,110,110,,,,NA,NA,NA,NA,bottom trawl,,1,100,18,NA,dorsalMuscle,frozen then dried,no,,,,,No,NA,13.37,NA,NA,16.48,NA,NA,NA,47.47,NA,,-24.11,NA,NA,NA,NA,NA,NA,NA,,,,NA,,,Fish
816,T4838,Slimy sculpin,28.2013.329,28.2013.329.045,A,Lake Ontario,10/23/2013,2013,43.5635,-76.5015,Nine Mile Point,NMP 110,110,110,,,,NA,NA,NA,NA,bottom trawl,,1,112,23.6,NA,dorsalMuscle,frozen then dried,no,,,,,No,NA,13.14,NA,NA,17.17,NA,NA,NA,45.72,NA,,-24.2,NA,NA,NA,NA,NA,NA,NA,,,,NA,,,Fish
818,T4838,Slimy sculpin,28.2013.329,28.2013.329.045,B,Lake Ontario,10/23/2013,2013,43.5635,-76.5015,Nine Mile Point,NMP 110,110,110,,,,NA,NA,NA,NA,bottom trawl,,1,112,23.6,NA,dorsalMuscle,frozen then dried,no,,,,,No,NA,13.2,NA,NA,17.35,NA,NA,NA,45.62,NA,,-24.18,NA,NA,NA,NA,NA,NA,NA,,,,NA,,,Fish
820,T4838,Slimy sculpin,28.2013.329,28.2013.329.045,C,Lake Ontario,10/23/2013,2013,43.5635,-76.5015,Nine Mile Point,NMP 110,110,110,,,,NA,NA,NA,NA,bottom trawl,,1,112,23.6,NA,dorsalMuscle,frozen then dried,no,,,,,No,NA,12.76,NA,NA,17.38,NA,NA,NA,44.56,NA,,-24.21,NA,NA,NA,NA,NA,NA,NA,,,,NA,,,Fish
822,T4839,Slimy sculpin,28.2013.329,28.2013.329.046,,Lake Ontario,10/23/2013,2013,43.5635,-76.5015,Nine Mile Point,NMP 110,110,110,,,,NA,NA,NA,NA,bottom trawl,,1,130,34.4,NA,dorsalMuscle,frozen then dried,no,,,,,No,NA,11.86,NA,NA,16.84,NA,NA,NA,47.57,NA,,-25.13,NA,NA,NA,NA,NA,NA,NA,,,,NA,,,Fish
824,T4840,Slimy sculpin,28.2013.329,28.2013.329.047,,Lake Ontario,10/23/2013,2013,43.5635,-76.5015,Nine Mile Point,NMP 110,110,110,,,,NA,NA,NA,NA,bottom trawl,,1,104,18.4,NA,dorsalMuscle,frozen then dried,no,,,,,No,NA,12.41,NA,NA,15.9,NA,NA,NA,45.09,NA,,-24.12,NA,NA,NA,NA,NA,NA,NA,,,,NA,,,Fish
826,T4841,Slimy sculpin,28.2013.329,28.2013.329.048,,Lake Ontario,10/23/2013,2013,43.5635,-76.5015,Nine Mile Point,NMP 110,110,110,,,,NA,NA,NA,NA,bottom trawl,,1,116,24.5,NA,dorsalMuscle,frozen then dried,no,,,,,No,NA,13.13,NA,NA,16.78,NA,NA,NA,46.43,NA,,-24.18,NA,NA,NA,NA,NA,NA,NA,,,,NA,,,Fish
828,T4842,Slimy sculpin,28.2013.329,28.2013.329.049,,Lake Ontario,10/23/2013,2013,43.5635,-76.5015,Nine Mile Point,NMP 110,110,110,,,,NA,NA,NA,NA,bottom trawl,,1,100,23.8,NA,dorsalMuscle,frozen then dried,no,,,,,No,NA,13.14,NA,NA,17.11,NA,NA,NA,49.21,NA,,-24.45,NA,NA,NA,NA,NA,NA,NA,,,,NA,,,Fish
830,T4843,Slimy sculpin,28.2013.329,28.2013.329.050,,Lake Ontario,10/23/2013,2013,43.5635,-76.5015,Nine Mile Point,NMP 110,110,110,,,,NA,NA,NA,NA,bottom trawl,,1,105,20.5,NA,dorsalMuscle,frozen then dried,no,,,,,No,NA,11.91,NA,NA,15.47,NA,NA,NA,47.82,NA,,-25.22,NA,NA,NA,NA,NA,NA,NA,,,,NA,,,Fish
832,T4844,Slimy sculpin,28.2013.329,28.2013.329.051,,Lake Ontario,10/23/2013,2013,43.5635,-76.5015,Nine Mile Point,NMP 110,110,110,,,,NA,NA,NA,NA,bottom trawl,,1,101,18.5,NA,dorsalMuscle,frozen then dried,no,,,,,No,NA,12.6,NA,NA,16.05,NA,NA,NA,46.41,NA,,-24.29,NA,NA,NA,NA,NA,NA,NA,,,,NA,,,Fish
834,T4845,Slimy sculpin,28.2013.329,28.2013.329.052,,Lake Ontario,10/23/2013,2013,43.5635,-76.5015,Nine Mile Point,NMP 110,110,110,,,,NA,NA,NA,NA,bottom trawl,,1,93,13.6,NA,dorsalMuscle,frozen then dried,no,,,,,No,NA,12.4,NA,NA,16.06,NA,NA,NA,45.22,NA,,-24.25,NA,NA,NA,NA,NA,NA,NA,,,,NA,,,Fish
836,T4846,Slimy sculpin,28.2013.329,28.2013.329.053,,Lake Ontario,10/23/2013,2013,43.5635,-76.5015,Nine Mile Point,NMP 110,110,110,,,,NA,NA,NA,NA,bottom trawl,,1,111,21.2,NA,dorsalMuscle,frozen then dried,no,,,,,No,NA,13.37,NA,NA,17.07,NA,NA,NA,45.75,NA,,-24.21,NA,NA,NA,NA,NA,NA,NA,,,,NA,,,Fish
838,T4847,Slimy sculpin,28.2013.329,28.2013.329.054,,Lake Ontario,10/23/2013,2013,43.5635,-76.5015,Nine Mile Point,NMP 110,110,110,,,,NA,NA,NA,NA,bottom trawl,,1,80,9.2,NA,dorsalMuscle,frozen then dried,no,,,,,No,NA,12.89,NA,NA,16.6,NA,NA,NA,45.08,NA,,-24.18,NA,NA,NA,NA,NA,NA,NA,,,,NA,,,Fish
840,T4848,Slimy sculpin,28.2013.329,28.2013.329.055,,Lake Ontario,10/23/2013,2013,43.5635,-76.5015,Nine Mile Point,NMP 110,110,110,,,,NA,NA,NA,NA,bottom trawl,,1,92,10.6,NA,dorsalMuscle,frozen then dried,no,,,,,No,NA,12.71,NA,NA,17.26,NA,NA,NA,45.55,NA,,-24.07,NA,NA,NA,NA,NA,NA,NA,,,,NA,,,Fish
842,T4849,Slimy sculpin,28.2013.329,28.2013.329.056,,Lake Ontario,10/23/2013,2013,43.5635,-76.5015,Nine Mile Point,NMP 110,110,110,,,,NA,NA,NA,NA,bottom trawl,,1,126,28.4,NA,dorsalMuscle,frozen then dried,no,,,,,No,NA,12.96,NA,NA,16.57,NA,NA,NA,45.33,NA,,-24.4,NA,NA,NA,NA,NA,NA,NA,,,,NA,,,Fish
844,T4850,Slimy sculpin,28.2013.329,28.2013.329.057,,Lake Ontario,10/23/2013,2013,43.5635,-76.5015,Nine Mile Point,NMP 110,110,110,,,,NA,NA,NA,NA,bottom trawl,,1,90,13.6,NA,dorsalMuscle,frozen then dried,no,,,,,No,NA,13.29,NA,NA,17.73,NA,NA,NA,46.38,NA,,-24.17,NA,NA,NA,NA,NA,NA,NA,,,,NA,,,Fish
846,T4851,Slimy sculpin,28.2013.329,28.2013.329.058,,Lake Ontario,10/23/2013,2013,43.5635,-76.5015,Nine Mile Point,NMP 110,110,110,,,,NA,NA,NA,NA,bottom trawl,,1,110,22,NA,dorsalMuscle,frozen then dried,no,,,,,No,NA,11.29,NA,NA,15.33,NA,NA,NA,46.7,NA,,-25.29,NA,NA,NA,NA,NA,NA,NA,,,,NA,,,Fish
848,T4852,Slimy sculpin,28.2013.329,28.2013.329.059,,Lake Ontario,10/23/2013,2013,43.5635,-76.5015,Nine Mile Point,NMP 110,110,110,,,,NA,NA,NA,NA,bottom trawl,,1,115,21,NA,dorsalMuscle,frozen then dried,no,,,,,No,NA,12.53,NA,NA,16.03,NA,NA,NA,43.22,NA,,-23.84,NA,NA,NA,NA,NA,NA,NA,,,,NA,,,Fish
850,T4853,Slimy sculpin,28.2013.329,28.2013.329.060,A,Lake Ontario,10/23/2013,2013,43.5635,-76.5015,Nine Mile Point,NMP 110,110,110,,,,NA,NA,NA,NA,bottom trawl,,1,103,19.6,NA,dorsalMuscle,frozen then dried,no,,,,,No,NA,13.13,NA,NA,16.27,NA,NA,NA,46.27,NA,,-24.14,NA,NA,NA,NA,NA,NA,NA,,,,NA,,,Fish
852,T4853,Slimy sculpin,28.2013.329,28.2013.329.060,B,Lake Ontario,10/23/2013,2013,43.5635,-76.5015,Nine Mile Point,NMP 110,110,110,,,,NA,NA,NA,NA,bottom trawl,,1,103,19.6,NA,dorsalMuscle,frozen then dried,no,,,,,No,NA,9.04,NA,NA,16.27,NA,NA,NA,31.86,NA,,-24.12,NA,NA,NA,NA,NA,NA,NA,,,,NA,,,Fish
854,T4853,Slimy sculpin,28.2013.329,28.2013.329.060,C,Lake Ontario,10/23/2013,2013,43.5635,-76.5015,Nine Mile Point,NMP 110,110,110,,,,NA,NA,NA,NA,bottom trawl,,1,103,19.6,NA,dorsalMuscle,frozen then dried,no,,,,,No,NA,13.19,NA,NA,16.19,NA,NA,NA,46.21,NA,,-24.12,NA,NA,NA,NA,NA,NA,NA,,,,NA,,,Fish
856,T4854,Slimy sculpin,28.2013.329,28.2013.329.061,,Lake Ontario,10/23/2013,2013,43.5635,-76.5015,Nine Mile Point,NMP 110,110,110,,,,NA,NA,NA,NA,bottom trawl,,1,100,16.1,NA,dorsalMuscle,frozen then dried,no,,,,,No,NA,12.73,NA,NA,16.91,NA,NA,NA,45.37,NA,,-24.23,NA,NA,NA,NA,NA,NA,NA,,,,NA,,,Fish
858,T5324,Slimy sculpin,28.2013.329,28.2013.329.009,,Lake Ontario,10/23/2013,2013,43.5635,-76.5015,Nine Mile Point,NMP 110,110,110,,,,NA,NA,NA,NA,bottom trawl,,1,94,0,NA,dorsalMuscle,frozen then dried,no,,,,,No,NA,12.13,NA,NA,16.5,NA,NA,NA,47.61,NA,,-24.84,NA,NA,NA,NA,NA,NA,NA,,,,NA,,,Fish
860,T5325,Slimy sculpin,28.2013.329,28.2013.329.070,,Lake Ontario,10/23/2013,2013,43.5635,-76.5015,Nine Mile Point,NMP 110,110,110,,,,NA,NA,NA,NA,bottom trawl,,1,85,0,NA,dorsalMuscle,frozen then dried,no,,,,,No,NA,12.44,NA,NA,17.59,NA,NA,NA,46.16,NA,,-24.76,NA,NA,NA,NA,NA,NA,NA,,,,NA,,,Fish
862,T5326,Slimy sculpin,28.2013.329,28.2013.329.068,,Lake Ontario,10/23/2013,2013,43.5635,-76.5015,Nine Mile Point,NMP 110,110,110,,,,NA,NA,NA,NA,bottom trawl,,1,103,0,NA,dorsalMuscle,frozen then dried,no,,,,,No,NA,12.89,NA,NA,16.84,NA,NA,NA,45.71,NA,,-24.48,NA,NA,NA,NA,NA,NA,NA,,,,NA,,,Fish
864,T5327,Slimy sculpin,28.2013.329,28.2013.329.066,,Lake Ontario,10/23/2013,2013,43.5635,-76.5015,Nine Mile Point,NMP 110,110,110,,,,NA,NA,NA,NA,bottom trawl,,1,91,0,NA,dorsalMuscle,frozen then dried,no,,,,,No,NA,12.58,NA,NA,16.75,NA,NA,NA,46.11,NA,,-24.54,NA,NA,NA,NA,NA,NA,NA,,,,NA,,,Fish
866,T5328,Slimy sculpin,28.2013.329,28.2013.329.067,,Lake Ontario,10/23/2013,2013,43.5635,-76.5015,Nine Mile Point,NMP 110,110,110,,,,NA,NA,NA,NA,bottom trawl,,1,105,0,NA,dorsalMuscle,frozen then dried,no,,,,,No,NA,12.68,NA,NA,16.57,NA,NA,NA,44.3,NA,,-24.19,NA,NA,NA,NA,NA,NA,NA,,,,NA,,,Fish
868,T5329,Slimy sculpin,28.2013.329,28.2013.329.064,,Lake Ontario,10/23/2013,2013,43.5635,-76.5015,Nine Mile Point,NMP 110,110,110,,,,NA,NA,NA,NA,bottom trawl,,1,82,0,NA,dorsalMuscle,frozen then dried,no,,,,,No,NA,9.77,NA,NA,15.48,NA,NA,NA,37.19,NA,,-24.35,NA,NA,NA,NA,NA,NA,NA,,,,NA,,,Fish
870,T5330,Slimy sculpin,28.2013.329,28.2013.329.065,,Lake Ontario,10/23/2013,2013,43.5635,-76.5015,Nine Mile Point,NMP 110,110,110,,,,NA,NA,NA,NA,bottom trawl,,1,95,0,NA,dorsalMuscle,frozen then dried,no,,,,,No,NA,12.16,NA,NA,16.36,NA,NA,NA,46.6,NA,,-24.21,NA,NA,NA,NA,NA,NA,NA,,,,NA,,,Fish
872,T5331,Slimy sculpin,28.2013.329,28.2201.329.063,,Lake Ontario,10/23/2013,2013,43.5635,-76.5015,Nine Mile Point,NMP 110,110,110,,,,NA,NA,NA,NA,bottom trawl,,1,95,0,NA,dorsalMuscle,frozen then dried,no,,,,,No,NA,13.12,NA,NA,16.27,NA,NA,NA,45.81,NA,,-24.14,NA,NA,NA,NA,NA,NA,NA,,,,NA,,,Fish
874,T1913,Slimy sculpin,28.2013.037,0,,Lake Ontario,5/12/2013,2013,43.5595,-76.52883333,Nine Mile Point,NMP 125,125,125,,,,NA,NA,NA,NA,bottom trawl,,1,121,22.7,NA,dorsalMuscle,0,no,,,,,No,NA,12.77,NA,NA,18.08,NA,NA,NA,47.8,NA,,-24.81,NA,NA,NA,NA,NA,NA,NA,,,,NA,,,Fish
876,T1914,Slimy sculpin,28.2013.037,0,,Lake Ontario,5/12/2013,2013,43.5595,-76.52883333,Nine Mile Point,NMP 125,125,125,,,,NA,NA,NA,NA,bottom trawl,,1,135,28.4,NA,dorsalMuscle,0,no,,,,,No,NA,13.34,NA,NA,17.68,NA,NA,NA,46.47,NA,,-24.56,NA,NA,NA,NA,NA,NA,NA,,,,NA,,,Fish
878,T1915,Slimy sculpin,28.2013.037,0,,Lake Ontario,5/12/2013,2013,43.5595,-76.52883333,Nine Mile Point,NMP 125,125,125,,,,NA,NA,NA,NA,bottom trawl,,1,130,28.5,NA,dorsalMuscle,0,no,,,,,No,NA,12.34,NA,NA,17.81,NA,NA,NA,43.27,NA,,-24.58,NA,NA,NA,NA,NA,NA,NA,,,,NA,,,Fish
880,T1916,Slimy sculpin,28.2013.037,0,,Lake Ontario,5/12/2013,2013,43.5595,-76.52883333,Nine Mile Point,NMP 125,125,125,,,,NA,NA,NA,NA,bottom trawl,,1,124,32.4,NA,dorsalMuscle,0,no,,,,,No,NA,12.71,NA,NA,17.04,NA,NA,NA,47.44,NA,,-24.78,NA,NA,NA,NA,NA,NA,NA,,,,NA,,,Fish
882,T1917,Slimy sculpin,28.2013.037,0,,Lake Ontario,5/12/2013,2013,43.5595,-76.52883333,Nine Mile Point,NMP 125,125,125,,,,NA,NA,NA,NA,bottom trawl,,1,90,11.9,NA,dorsalMuscle,0,no,,,,,No,NA,12.76,NA,NA,18.31,NA,NA,NA,47.27,NA,,-24.36,NA,NA,NA,NA,NA,NA,NA,,,,NA,,,Fish
884,T1918,Slimy sculpin,28.2013.037,0,,Lake Ontario,5/12/2013,2013,43.5595,-76.52883333,Nine Mile Point,NMP 125,125,125,,,,NA,NA,NA,NA,bottom trawl,,1,89,9.9,NA,dorsalMuscle,0,no,,,,,No,NA,12.63,NA,NA,16.47,NA,NA,NA,44.59,NA,,-24.43,NA,NA,NA,NA,NA,NA,NA,,,,NA,,,Fish
886,T1919,Slimy sculpin,28.2013.037,0,,Lake Ontario,5/12/2013,2013,43.5595,-76.52883333,Nine Mile Point,NMP 125,125,125,,,,NA,NA,NA,NA,bottom trawl,,1,96,10.5,NA,dorsalMuscle,0,no,,,,,No,NA,12.31,NA,NA,17.71,NA,NA,NA,46.16,NA,,-24.6,NA,NA,NA,NA,NA,NA,NA,,,,NA,,,Fish
888,T1920,Slimy sculpin,28.2013.037,0,,Lake Ontario,5/12/2013,2013,43.5595,-76.52883333,Nine Mile Point,NMP 125,125,125,,,,NA,NA,NA,NA,bottom trawl,,1,94,9.5,NA,dorsalMuscle,0,no,,,,,No,NA,13.53,NA,NA,17.46,NA,NA,NA,45.49,NA,,-24.25,NA,NA,NA,NA,NA,NA,NA,,,,NA,,,Fish
890,T1921,Slimy sculpin,28.2013.037,0,,Lake Ontario,5/12/2013,2013,43.5595,-76.52883333,Nine Mile Point,NMP 125,125,125,,,,NA,NA,NA,NA,bottom trawl,,1,95,12.2,NA,dorsalMuscle,0,no,,,,,No,NA,12.53,NA,NA,18.25,NA,NA,NA,47.71,NA,,-24.63,NA,NA,NA,NA,NA,NA,NA,,,,NA,,,Fish
892,T1865,Alewife,28.2013.111,0,,Lake Ontario,6/6/2013,2013,43.53216667,-76.366,Nine Mile Point,NMP 15,15,15,,,,NA,NA,NA,NA,bottom trawl,,1,73,1.83,NA,dorsalMuscle,Frozen then Dried,no,,,,,No,NA,12.76,NA,NA,15.67,NA,NA,NA,43.54,NA,,-23.35,NA,NA,NA,NA,NA,NA,NA,,,,NA,,,Fish
894,T1866,Alewife,28.2013.111,0,,Lake Ontario,6/6/2013,2013,43.53216667,-76.366,Nine Mile Point,NMP 15,15,15,,,,NA,NA,NA,NA,bottom trawl,,1,70,1.66,NA,dorsalMuscle,Frozen then Dried,no,,,,,No,NA,12.39,NA,NA,15.39,NA,NA,NA,43.77,NA,,-23.7,NA,NA,NA,NA,NA,NA,NA,,,,NA,,,Fish
896,T1867,Alewife,28.2013.111,0,,Lake Ontario,6/6/2013,2013,43.53216667,-76.366,Nine Mile Point,NMP 15,15,15,,,,NA,NA,NA,NA,bottom trawl,,1,81,2.98,NA,dorsalMuscle,Frozen then Dried,no,,,,,No,NA,13.47,NA,NA,14.69,NA,NA,NA,44.4,NA,,-22.58,NA,NA,NA,NA,NA,NA,NA,,,,NA,,,Fish
898,T1868,Alewife,28.2013.111,0,,Lake Ontario,6/6/2013,2013,43.53216667,-76.366,Nine Mile Point,NMP 15,15,15,,,,NA,NA,NA,NA,bottom trawl,,1,97,5.2,NA,dorsalMuscle,Frozen then Dried,no,,,,,No,NA,13.04,NA,NA,14.4,NA,NA,NA,43.44,NA,,-22.41,NA,NA,NA,NA,NA,NA,NA,,,,NA,,,Fish
900,T1869,Alewife,28.2013.111,0,,Lake Ontario,6/6/2013,2013,43.53216667,-76.366,Nine Mile Point,NMP 15,15,15,,,,NA,NA,NA,NA,bottom trawl,,1,105,6.5,NA,dorsalMuscle,Frozen then Dried,no,,,,,No,NA,11.98,NA,NA,13.69,NA,NA,NA,44.99,NA,,-23.46,NA,NA,NA,NA,NA,NA,NA,,,,NA,,,Fish
902,T1870,Alewife,28.2013.111,0,,Lake Ontario,6/6/2013,2013,43.53216667,-76.366,Nine Mile Point,NMP 15,15,15,,,,NA,NA,NA,NA,bottom trawl,,1,135,15.86,NA,dorsalMuscle,Frozen then Dried,no,,,,,No,NA,13.05,NA,NA,13.01,NA,NA,NA,43.66,NA,,-23.18,NA,NA,NA,NA,NA,NA,NA,,,,NA,,,Fish
904,T1871,Alewife,28.2013.111,0,,Lake Ontario,6/6/2013,2013,43.53216667,-76.366,Nine Mile Point,NMP 15,15,15,,,,NA,NA,NA,NA,bottom trawl,,1,155,27.92,NA,dorsalMuscle,Frozen then Dried,no,,,,,No,NA,11.33,NA,NA,13.32,NA,NA,NA,49.74,NA,,-24.85,NA,NA,NA,NA,NA,NA,NA,,,,NA,,,Fish
906,T1872,Alewife,28.2013.111,0,,Lake Ontario,6/6/2013,2013,43.53216667,-76.366,Nine Mile Point,NMP 15,15,15,,,,NA,NA,NA,NA,bottom trawl,,1,169,36.85,NA,dorsalMuscle,Frozen then Dried,no,,,,,No,NA,11.53,NA,NA,13.66,NA,NA,NA,47.1,NA,,-24.79,NA,NA,NA,NA,NA,NA,NA,,,,NA,,,Fish
908,T1873,Alewife,28.2013.111,0,,Lake Ontario,6/6/2013,2013,43.53216667,-76.366,Nine Mile Point,NMP 15,15,15,,,,NA,NA,NA,NA,bottom trawl,,1,180,43.34,NA,dorsalMuscle,Frozen then Dried,no,,,,,No,NA,12.25,NA,NA,15.65,NA,NA,NA,48.11,NA,,-26.12,NA,NA,NA,NA,NA,NA,NA,,,,NA,,,Fish
910,T1874,Alewife,28.2013.111,0,,Lake Ontario,6/6/2013,2013,43.53216667,-76.366,Nine Mile Point,NMP 15,15,15,,,,NA,NA,NA,NA,bottom trawl,,1,189,50.42,NA,dorsalMuscle,Frozen then Dried,no,,,,,No,NA,11.81,NA,NA,13.29,NA,NA,NA,43.3,NA,,-23.52,NA,NA,NA,NA,NA,NA,NA,,,,NA,,,Fish
912,T1947,Alewife,28.2013.034,0,,Lake Ontario,5/10/2013,2013,43.57533333,-76.53216667,Nine Mile Point,NMP 150,150,150,,,,NA,NA,NA,NA,bottom trawl,,1,110,9.9,NA,dorsalMuscle,0,no,,,,,No,NA,10.88,NA,NA,14.1,NA,NA,NA,46.96,NA,,-24.64,NA,NA,NA,NA,NA,NA,NA,,,,NA,,,Fish
